,MLP (SGD)
0,0.8592406428169133
1,0.35242113249377227
2,0.9228082939642737
3,0.7959026761651109
4,0.22148078821830516
5,0.7459921840126673
6,0.7624421068565078
7,0.10527772732135492
8,0.9665273950891498
9,0.703279646944389
10,0.5138727430580202
11,0.003169970837102061
12,0.8232431170738274
13,0.5993798011102953
14,0.1692020788513841
15,0.24730147341561745
16,0.654423660630468
17,0.49338626744892616
18,0.15472665093180607
19,0.349218690792811
20,0.9409811260270703
21,0.5811887644268525
22,0.7462871701962346
23,0.10045054561846951
24,0.41955548358567185
25,0.3579576344578039
26,0.2532635932417875
27,0.8307900724300152
28,0.9562077551123438
29,0.28343672173541273
