,MLP (ADAM),MLP (SGD)
0,5,2
1,3,4
2,1,4
3,3,4
4,1,1
5,3,4
6,3,2
7,2,1
8,1,1
9,4,3
10,1,3
11,2,5
12,1,4
13,5,4
14,5,1
15,3,1
16,2,1
17,4,4
18,2,1
19,2,4
20,3,4
21,4,4
22,4,5
23,4,1
24,1,2
25,4,4
26,5,5
27,1,1
28,5,3
29,1,3
