,MLP (ADAM)
0,0.4551607562754411
1,0.8869276680102135
2,0.8376589267819784
3,0.38812661384920916
4,0.3898955490189132
5,0.19815400912584047
6,0.9429107871332371
7,0.76284801193385
8,0.5804086760447706
9,0.7362552080483423
10,0.30276018127151527
11,0.23784449342903594
12,0.9524942855391053
13,0.9878950737104616
14,0.6278692108692476
15,0.03858863623390385
16,0.7208526395665935
17,0.4644226271728246
18,0.594522099312209
19,0.5646809826018456
20,0.828746028024906
21,0.8369537339082731
22,0.6653649294959444
23,0.7726849975887704
24,0.05640474550443528
25,0.72092338962829
26,0.5316644311954932
27,0.15597753759993704
28,0.21829165799519784
29,0.1144808544915712
