,MLP (SGD)
0,0.7588365621985714
1,0.4763066942499418
2,0.4234305605148137
3,0.39694973215872054
4,0.0755350199732199
5,0.03266254193222843
6,0.6899366184697446
7,0.7006301159398514
8,0.33255428895650746
9,0.5190667202525762
10,0.28680678667685827
11,0.41402022378026787
12,0.751244753857223
13,0.8276300194309422
14,0.20056953802917124
15,0.4723247163754273
16,0.1663594802434839
17,0.5722125332735769
18,0.04943095387396124
19,0.7369696373070872
20,0.33421506532378387
21,0.3362381067518141
22,0.15510404406459596
23,0.7720539769907833
24,0.5743953073046433
25,0.09459092667733023
26,0.18193954192443282
27,0.18328447563421035
28,0.2748106016871639
29,0.3708390006361833
