,MLP (LBFGS),MLP (ADAM),MLP (SGD)
0,2.7400917889030034,0.0,3.382658107799616
1,2.3887740231589905,4.062294897413912,3.911000851154421
2,1.5602870246192437,4.027551878234703,0.8576854471058111
3,1.9708601439012217,3.6160811466231455,2.509905447866959
4,1.98184443827768,1.880163538945489,0.1604739918616666
5,1.901215786715712,3.4296147090648685,0.7705187816243914
6,2.133604748944077,0.997436512720575,0.0
7,0.9319198985020843,3.3645674120310027,1.542323578427748
8,2.8403975823291425,1.1703980268383296,1.7158384429482314
9,4.408310072285485,0.0,0.0
10,0.0,0.0,4.085888178117739
11,4.676832515194571,2.399157524637252,0.8336914248180981
12,4.566984370981385,0.0,3.6578813216285386
13,3.8962267564000785,0.0,2.4481942791542406
14,4.8858361783104005,2.023731021165068,4.683978307987711
15,0.9494795194041504,0.4301346503999298,3.5396155688664823
16,2.1755607441609706,1.3657886448044918,0.9416225687112515
17,0.931054812514514,1.2188640948832874,1.167854218838301
18,1.002307863029662,1.9176802284711805,0.0
19,0.9678198793331922,2.096176355902786,0.0
20,2.1738044598819153,1.4262823267244529,4.50598982386573
21,3.533037343238357,4.212722606150471,3.7455939866684056
22,0.1387057294272097,0.0,3.8615701619807394
23,0.0,0.0,3.598819511356036
24,4.714933265765658,0.0,4.153587420880276
25,4.063363363719627,4.003366817945674,1.23847511100292
26,2.9550740744192847,1.836992023885426,3.624424828364388
27,4.0904331581446405,4.661253361635208,0.0
28,2.7333274973514587,4.498692414084525,4.268628700417127
29,1.7330678994897228,0.0,3.286883107513019
