,MLP (SGD)
0,True
1,False
2,True
3,True
4,False
5,False
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,False
14,True
15,False
16,False
17,True
18,True
19,False
20,False
21,False
22,True
23,False
24,True
25,False
26,False
27,True
28,False
29,True
