,MLP Simple Ensemble,MLP Bagging Ensemble,MLP Boosting Ensemble (Median + FLR),MLP Boosting Ensemble (Median + RLR),MLP Boosting Ensemble (Mean + FLR),MLP Boosting Ensemble (Mean + RLR)
0,0.4245904250576242,0.4195827874015779,0.4599894525920751,0.47156332305957227,0.41315410715900425,0.4080428308180045
1,0.444253852515308,0.4120090078889189,0.4420608439541014,0.4496179869976355,0.4151301408503938,0.41172905485908357
2,0.40193638817326033,0.37125690045246695,0.42337369193050706,0.42337369193050706,0.3707463151383696,0.3700651132980027
3,0.45808598242644083,0.4294019605517264,0.45557345160942025,0.4585221778726501,0.42729744758795857,0.42383854650920794
4,0.43193498895209015,0.3916755079195572,0.4450990985692622,0.4390015626027486,0.3971314483161578,0.39735197168005015
5,0.44771390289331564,0.43118376239971373,0.46869665015362455,0.47156332305957227,0.431577755554602,0.434697899869488
6,0.45928411552337345,0.44781924753923513,0.47865489878343465,0.47724501383932905,0.44659873965535885,0.4468970587641806
7,0.4348442799080989,0.4037893288615066,0.46145206185565535,0.44811675413549,0.4041007231241611,0.40747177017073666
8,0.46121348593105127,0.43442739764142807,0.4658123356840947,0.45705019276464537,0.4315326468264355,0.43382893768144526
9,0.4244581486743313,0.41069120473708437,0.45705019276464537,0.4629100498862757,0.41231964211232797,0.413610535108718
10,0.4510162894190782,0.4410841825147327,0.4658123356840947,0.4643634602125721,0.4402448337309983,0.4355169943996462
11,0.42031734043061636,0.39099438584639834,0.42969305160589083,0.4343722427630694,0.38756116135206253,0.3835237231794008
12,0.45840459300653597,0.4494864128535168,0.4643634602125721,0.4658123356840947,0.4458621444033119,0.4435403727893325
13,0.4356665363984321,0.4124794094890929,0.4420608439541014,0.4405338589286114,0.41281870986153235,0.4101676440875904
14,0.4075324029802856,0.41366121823793683,0.4658123356840947,0.4744126742033184,0.41316135598536385,0.41487395113207876
15,0.40721076234739717,0.40656671771908887,0.48006064306945506,0.4884101497650627,0.41497500258484304,0.41361777593598487
16,0.35296417339004144,0.306684049665543,0.3521210279560722,0.36527137937839027,0.3124284883735947,0.3088177031269422
17,0.42724137226712916,0.41156717699543777,0.4643634602125721,0.45260551479358196,0.4191453675914899,0.41395433452878855
18,0.4353570823570356,0.3705241020671105,0.41695856801288195,0.4087981200604518,0.3695731411759333,0.37117218787486206
19,0.43577479339682773,0.39395704884445437,0.4249623417595336,0.43281813315541684,0.3849267636282162,0.38193326101953445
20,0.446118799146591,0.429440359052281,0.4640508627619908,0.4726717395310181,0.4276694418449391,0.42502298075607525
21,0.4458086212192426,0.43742418001814115,0.4769237448605845,0.4726717395310181,0.4360339629759945,0.4394042760836383
22,0.45634289852570703,0.4435200495976422,0.4640508627619908,0.4640508627619908,0.4430646294718621,0.4420576707827741
23,0.45793275451385573,0.44673516144508074,0.4769237448605845,0.4797374786820608,0.44346947045738716,0.4462277293952408
24,0.42877472444026776,0.41594329311767586,0.4582135126220028,0.45674251841623625,0.4014032511842835,0.40671424825890073
25,0.4262649522082278,0.4219844591977252,0.46838113571184026,0.4640508627619908,0.42086134411885673,0.4210354189220191
26,0.4407363633137859,0.37384986378493085,0.4150597096612949,0.41989551991499474,0.3655372302878111,0.36607276834155555
27,0.43341269936135757,0.35271384785922627,0.4002018333321608,0.4150597096612949,0.35245300322960654,0.3501286909043688
28,0.5911534196732671,0.5911534196732671,0.5911534196732671,0.5911534196732671,0.5911534196732671,0.5911534196732671
29,0.4592407114611262,0.41669175551706095,0.44901325506693723,0.4534811586938564,0.41395894381986575,0.4156960019885867
