,Simple Ensemble,Bagging Ensemble,RIW Ensemble,Boosting Ensemble (Median + FLR),Boosting Ensemble (Median + RLR),Boosting Ensemble (Mean + FLR),Boosting Ensemble (Mean + RLR)
0,0.7951482479784366,0.7924528301886793,0.7911051212938005,0.7762803234501348,0.7911051212938005,0.7789757412398922,0.7830188679245284
1,0.8180592991913747,0.8140161725067385,0.8045822102425876,0.7978436657681941,0.7951482479784366,0.7870619946091644,0.7857142857142857
2,0.793800539083558,0.7857142857142857,0.7857142857142857,0.7722371967654986,0.7897574123989218,0.784366576819407,0.7870619946091644
3,0.7857142857142857,0.7870619946091644,0.7884097035040432,0.7762803234501348,0.7762803234501348,0.7830188679245284,0.7830188679245284
4,0.793800539083558,0.7964959568733153,0.7991913746630728,0.7816711590296496,0.7897574123989218,0.7776280323450134,0.7870619946091644
5,0.7789757412398922,0.7870619946091644,0.7830188679245284,0.7466307277628033,0.7681940700808625,0.7681940700808625,0.77088948787062
6,0.793800539083558,0.7991913746630728,0.7857142857142857,0.77088948787062,0.7762803234501348,0.7654986522911051,0.7816711590296496
7,0.7776280323450134,0.7722371967654986,0.784366576819407,0.7695417789757413,0.7857142857142857,0.7587601078167115,0.7789757412398922
8,0.7884097035040432,0.7951482479784366,0.7857142857142857,0.7681940700808625,0.7803234501347709,0.7601078167115903,0.7803234501347709
9,0.7964959568733153,0.7924528301886793,0.7884097035040432,0.7803234501347709,0.7870619946091644,0.7776280323450134,0.7884097035040432
10,0.7897574123989218,0.7870619946091644,0.7870619946091644,0.7789757412398922,0.7816711590296496,0.7749326145552561,0.7735849056603774
11,0.7897574123989218,0.7830188679245284,0.7911051212938005,0.7735849056603774,0.7911051212938005,0.7830188679245284,0.7776280323450134
12,0.8018867924528302,0.7978436657681941,0.7991913746630728,0.7776280323450134,0.7884097035040432,0.7870619946091644,0.7924528301886793
13,0.7951482479784366,0.7964959568733153,0.7897574123989218,0.784366576819407,0.7830188679245284,0.7816711590296496,0.793800539083558
14,0.7978436657681941,0.7951482479784366,0.7911051212938005,0.7857142857142857,0.7857142857142857,0.7749326145552561,0.7897574123989218
15,0.7911051212938005,0.7924528301886793,0.7964959568733153,0.7762803234501348,0.7803234501347709,0.7668463611859838,0.7870619946091644
16,0.7991913746630728,0.7951482479784366,0.7991913746630728,0.7668463611859838,0.7911051212938005,0.7668463611859838,0.7830188679245284
17,0.7803234501347709,0.7870619946091644,0.784366576819407,0.7749326145552561,0.7789757412398922,0.7722371967654986,0.7776280323450134
18,0.7870619946091644,0.7870619946091644,0.7816711590296496,0.7803234501347709,0.7830188679245284,0.784366576819407,0.7830188679245284
19,0.7924528301886793,0.7897574123989218,0.7830188679245284,0.7789757412398922,0.7830188679245284,0.7735849056603774,0.7776280323450134
20,0.7860026917900403,0.7873485868102288,0.7779273216689099,0.7833109017496636,0.7806191117092867,0.7711978465679677,0.7806191117092867
21,0.7954239569313594,0.7913862718707941,0.7927321668909825,0.7833109017496636,0.7900403768506057,0.7792732166890982,0.7806191117092867
22,0.7940780619111709,0.7886944818304172,0.7900403768506057,0.7833109017496636,0.7819650067294751,0.7860026917900403,0.7900403768506057
23,0.7900403768506057,0.7913862718707941,0.7819650067294751,0.775235531628533,0.7913862718707941,0.7738896366083445,0.775235531628533
24,0.7913862718707941,0.7913862718707941,0.784656796769852,0.7779273216689099,0.7765814266487214,0.7711978465679677,0.7779273216689099
25,0.7873485868102288,0.7927321668909825,0.7860026917900403,0.775235531628533,0.7860026917900403,0.7765814266487214,0.7833109017496636
26,0.7900403768506057,0.7900403768506057,0.7873485868102288,0.7806191117092867,0.7738896366083445,0.7550471063257066,0.7819650067294751
27,0.7900403768506057,0.7873485868102288,0.7806191117092867,0.7886944818304172,0.7833109017496636,0.7698519515477793,0.7792732166890982
28,0.7795698924731183,0.7782258064516129,0.7809139784946236,0.7620967741935484,0.7567204301075269,0.7620967741935484,0.7741935483870968
29,0.7876344086021505,0.7903225806451613,0.7809139784946236,0.7701612903225806,0.7768817204301075,0.7768817204301075,0.7889784946236559
