,MLP (LBFGS),MLP (ADAM),MLP (SGD)
10,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (150, 149, 105), 'alpha': 0, 'max_iter': 48}","{'solver': 'adam', 'learning_rate_init': 0.7832635077861977, 'activation': 'tanh', 'hidden_layer_sizes': (67,), 'alpha': 0, 'max_iter': 108, 'batch_size': 626, 'shuffle': True, 'beta_1': 0.9612651039988233, 'beta_2': 0.854118232580549}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8587456443641714, 'activation': 'tanh', 'hidden_layer_sizes': (14,), 'alpha': 4.085888178117739, 'max_iter': 285, 'batch_size': 220, 'shuffle': False, 'momentum': 0.1614686386509009, 'nesterovs_momentum': True}"
11,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (26,), 'alpha': 4.676832515194571, 'max_iter': 42}","{'solver': 'adam', 'learning_rate_init': 0.08590660488387654, 'activation': 'tanh', 'hidden_layer_sizes': (166,), 'alpha': 2.399157524637252, 'max_iter': 216, 'batch_size': 254, 'shuffle': True, 'beta_1': 0.5797352220117499, 'beta_2': 0.5608384680977452}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.017643433348433893, 'activation': 'relu', 'hidden_layer_sizes': (154, 80, 106, 132), 'alpha': 0.8336914248180981, 'max_iter': 566, 'batch_size': 621, 'shuffle': True, 'momentum': 0.04004968402207438, 'nesterovs_momentum': True}"
12,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (117,), 'alpha': 4.566984370981385, 'max_iter': 557}","{'solver': 'adam', 'learning_rate_init': 0.021856802164737513, 'activation': 'tanh', 'hidden_layer_sizes': (1, 112, 168), 'alpha': 0, 'max_iter': 918, 'batch_size': 553, 'shuffle': False, 'beta_1': 0.777852943312495, 'beta_2': 0.4492087364615954}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.34901717972518287, 'activation': 'tanh', 'hidden_layer_sizes': (164, 139), 'alpha': 3.6578813216285386, 'max_iter': 377, 'batch_size': 218, 'shuffle': True, 'momentum': 0.3553281082783711, 'nesterovs_momentum': True}"
13,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (4, 177), 'alpha': 3.8962267564000785, 'max_iter': 14}","{'solver': 'adam', 'learning_rate_init': 0.4887581291980946, 'activation': 'relu', 'hidden_layer_sizes': (1,), 'alpha': 0, 'max_iter': 627, 'batch_size': 633, 'shuffle': True, 'beta_1': 0.2915731576971372, 'beta_2': 0.21683686376065178}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8182830123265478, 'activation': 'relu', 'hidden_layer_sizes': (145,), 'alpha': 2.4481942791542406, 'max_iter': 159, 'batch_size': 289, 'shuffle': True, 'momentum': 0.3315645407594046, 'nesterovs_momentum': False}"
14,"{'solver': 'lbfgs', 'activation': 'tanh', 'hidden_layer_sizes': (77,), 'alpha': 4.8858361783104005, 'max_iter': 501}","{'solver': 'adam', 'learning_rate_init': 0.8429523818090299, 'activation': 'logistic', 'hidden_layer_sizes': (33,), 'alpha': 2.023731021165068, 'max_iter': 544, 'batch_size': 556, 'shuffle': False, 'beta_1': 0.6919155613835584, 'beta_2': 0.9348409394667782}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.023554017157234906, 'activation': 'tanh', 'hidden_layer_sizes': (57,), 'alpha': 4.683978307987711, 'max_iter': 357, 'batch_size': 176, 'shuffle': False, 'momentum': 0.275235139072983, 'nesterovs_momentum': True}"
15,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (8, 77), 'alpha': 0.9494795194041504, 'max_iter': 776}","{'solver': 'adam', 'learning_rate_init': 0.052318614266633125, 'activation': 'relu', 'hidden_layer_sizes': (137,), 'alpha': 0.4301346503999298, 'max_iter': 569, 'batch_size': 262, 'shuffle': True, 'beta_1': 0.7246368040907392, 'beta_2': 0.7133045097204652}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5013234478336877, 'activation': 'relu', 'hidden_layer_sizes': (35, 87, 163, 86), 'alpha': 3.5396155688664823, 'max_iter': 581, 'batch_size': 179, 'shuffle': False, 'momentum': 0.17060718462922217, 'nesterovs_momentum': False}"
16,"{'solver': 'lbfgs', 'activation': 'relu', 'hidden_layer_sizes': (7, 77), 'alpha': 2.1755607441609706, 'max_iter': 255}","{'solver': 'adam', 'learning_rate_init': 0.04052780823813293, 'activation': 'relu', 'hidden_layer_sizes': (20,), 'alpha': 1.3657886448044918, 'max_iter': 735, 'batch_size': 204, 'shuffle': True, 'beta_1': 0.31891385254736404, 'beta_2': 0.47247181673962924}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.41596249106260885, 'activation': 'tanh', 'hidden_layer_sizes': (87, 29, 156, 124), 'alpha': 0.9416225687112515, 'max_iter': 567, 'batch_size': 160, 'shuffle': False, 'momentum': 0.44633485906652587, 'nesterovs_momentum': False}"
17,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (140, 135), 'alpha': 0.931054812514514, 'max_iter': 280}","{'solver': 'adam', 'learning_rate_init': 0.5921180411479153, 'activation': 'tanh', 'hidden_layer_sizes': (4,), 'alpha': 1.2188640948832874, 'max_iter': 978, 'batch_size': 609, 'shuffle': False, 'beta_1': 0.5533174083536198, 'beta_2': 0.5564720843075525}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.221998684689537, 'activation': 'tanh', 'hidden_layer_sizes': (68,), 'alpha': 1.167854218838301, 'max_iter': 450, 'batch_size': 333, 'shuffle': False, 'momentum': 0.0780486831527561, 'nesterovs_momentum': True}"
18,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (53,), 'alpha': 1.002307863029662, 'max_iter': 896}","{'solver': 'adam', 'learning_rate_init': 0.0015165420886496276, 'activation': 'tanh', 'hidden_layer_sizes': (183, 21, 48, 42, 27), 'alpha': 1.9176802284711805, 'max_iter': 711, 'batch_size': 199, 'shuffle': False, 'beta_1': 0.38682503979177346, 'beta_2': 0.8240611258810314}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.06381841174175257, 'activation': 'tanh', 'hidden_layer_sizes': (198,), 'alpha': 0, 'max_iter': 451, 'batch_size': 499, 'shuffle': False, 'momentum': 0.2520587193701903, 'nesterovs_momentum': True}"
19,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (81, 81), 'alpha': 0.9678198793331922, 'max_iter': 667}","{'solver': 'adam', 'learning_rate_init': 0.3939906929192105, 'activation': 'relu', 'hidden_layer_sizes': (39,), 'alpha': 2.096176355902786, 'max_iter': 296, 'batch_size': 267, 'shuffle': False, 'beta_1': 0.47224777495467385, 'beta_2': 0.6774988542923874}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3556380793955718, 'activation': 'tanh', 'hidden_layer_sizes': (136,), 'alpha': 0, 'max_iter': 249, 'batch_size': 676, 'shuffle': False, 'momentum': 0.2524915514244173, 'nesterovs_momentum': False}"
