,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (FLS) + TIE, SLM (FLS) + EDV",SLM (OLS) + EDV
0,"{'stopping_criterion': MaxGen_142, 'population_size': 10, 'layers': 3, 'learning_step': 0.35771424777338384, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_55, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.07033383368176295, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
1,"{'stopping_criterion': MaxGen_52, 'population_size': 10, 'layers': 3, 'learning_step': 0.05296695021370823, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_112, 'population_size': 10, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.2095589427807781, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
2,"{'stopping_criterion': MaxGen_181, 'population_size': 10, 'layers': 4, 'learning_step': 0.17711915850811435, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_88, 'population_size': 10, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.04390719442946954, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
3,"{'stopping_criterion': MaxGen_116, 'population_size': 10, 'layers': 2, 'learning_step': 0.9445965377243885, 'mutation_operator': Mutation2, 'random_sampling_technique': True, 'random_weighting_technique': False, 'subset_ratio': 0.6091753032399194}","{'stopping_criterion': MaxGen_92, 'population_size': 10, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 0.24970135807728042, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
4,"{'stopping_criterion': MaxGen_164, 'population_size': 10, 'layers': 2, 'learning_step': 0.3382477097805496, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': MaxGen_197, 'population_size': 10, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.0316925539787092, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
5,"{'stopping_criterion': MaxGen_142, 'population_size': 10, 'layers': 3, 'learning_step': 0.5445141723892877, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_88, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 0.012499008908320614, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
6,"{'stopping_criterion': MaxGen_144, 'population_size': 10, 'layers': 2, 'learning_step': 0.23473853159231484, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_73, 'population_size': 10, 'layers': 2, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 0.00507695560366969, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
7,"{'stopping_criterion': MaxGen_77, 'population_size': 10, 'layers': 2, 'learning_step': 0.40657642383688425, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_54, 'population_size': 10, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': TIE_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.05845939541804851, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
8,"{'stopping_criterion': MaxGen_153, 'population_size': 10, 'layers': 1, 'learning_step': 0.042278127167005616, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': MaxGen_44, 'population_size': 10, 'layers': 3, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': True, 'weight_range': 1}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 2, 'learning_step': 0.033022182914090537, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
9,"{'stopping_criterion': MaxGen_100, 'population_size': 10, 'layers': 1, 'learning_step': 0.05075261243134163, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': MaxGen_125, 'population_size': 10, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 0.1566704537815655, 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}","{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 1, 'learning_step': 'optimized', 'mutation_operator': Mutation2, 'random_sampling_technique': False, 'random_weighting_technique': False}"
