,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT","SLM (FLS) + TIE, SLM (FLS) + EDV",SLM (OLS) + EDV
0,142,55,11,2
1,52,112,3,110
2,181,88,19,56
3,116,92,4,25
4,164,197,26,44
5,142,88,92,1
6,144,73,200,33
7,77,54,13,2
8,153,44,30,1
9,100,125,11,14
10,170,42,13,4
11,140,161,5,135
12,165,157,13,43
13,51,136,53,28
14,182,66,23,6
15,181,50,55,40
16,107,193,174,1
17,92,54,26,5
18,163,55,3,81
19,86,51,66,64
20,108,90,77,107
21,157,58,26,43
22,46,48,19,63
23,199,143,2,9
24,130,61,20,8
25,185,71,90,1
26,94,40,76,6
27,11,51,8,28
28,155,194,47,2
29,132,102,15,9
