,"SLM (FLS), SLM (FLS) + RST, SLM (FLS) + RWT","SLM (OLS), SLM (OLS) + RST, SLM (OLS) + RWT"
No RST and No RWT Frequency,22,16
RST Frequency,2,3
RWT Frequency,6,11
