,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.4710444447611977, 'activation': 'relu', 'hidden_layer_sizes': (110,), 'alpha': 3.382658107799616, 'max_iter': 925, 'batch_size': 330, 'shuffle': True, 'momentum': 0.10073655302531892, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.3882052308287258, 'activation': 'relu', 'hidden_layer_sizes': (155,), 'alpha': 3.911000851154421, 'max_iter': 362, 'batch_size': 451, 'shuffle': False, 'momentum': 0.13479489083300428, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0290793381443564, 'activation': 'relu', 'hidden_layer_sizes': (112,), 'alpha': 0.8576854471058111, 'max_iter': 947, 'batch_size': 208, 'shuffle': False, 'momentum': 0.33048945985090766, 'nesterovs_momentum': True}"
3,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (166,), 'alpha': 1.9708601439012217, 'max_iter': 919}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.19248120138730607, 'activation': 'tanh', 'hidden_layer_sizes': (33,), 'alpha': 0.1604739918616666, 'max_iter': 257, 'batch_size': 497, 'shuffle': False, 'momentum': 0.2740075227044308, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.659900285882198, 'activation': 'logistic', 'hidden_layer_sizes': (18,), 'alpha': 0.7705187816243914, 'max_iter': 612, 'batch_size': 506, 'shuffle': True, 'momentum': 0.08499574548613802, 'nesterovs_momentum': False}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.07314780237515071, 'activation': 'tanh', 'hidden_layer_sizes': (98, 161, 54, 41, 139), 'alpha': 0, 'max_iter': 3, 'batch_size': 157, 'shuffle': True, 'momentum': 0.3488441380837685, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.26797823656052, 'activation': 'tanh', 'hidden_layer_sizes': (24,), 'alpha': 1.542323578427748, 'max_iter': 166, 'batch_size': 194, 'shuffle': True, 'momentum': 0.8598946176231889, 'nesterovs_momentum': True}"
8,"{'solver': 'lbfgs', 'activation': 'logistic', 'hidden_layer_sizes': (18,), 'alpha': 2.8403975823291425, 'max_iter': 208}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.5478886425768886, 'activation': 'tanh', 'hidden_layer_sizes': (62,), 'alpha': 0, 'max_iter': 13, 'batch_size': 171, 'shuffle': False, 'momentum': 0.5870180578205968, 'nesterovs_momentum': True}"
10,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8587456443641714, 'activation': 'tanh', 'hidden_layer_sizes': (14,), 'alpha': 4.085888178117739, 'max_iter': 285, 'batch_size': 220, 'shuffle': False, 'momentum': 0.1614686386509009, 'nesterovs_momentum': True}"
11,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.017643433348433893, 'activation': 'relu', 'hidden_layer_sizes': (154, 80, 106, 132), 'alpha': 0.8336914248180981, 'max_iter': 566, 'batch_size': 621, 'shuffle': True, 'momentum': 0.04004968402207438, 'nesterovs_momentum': True}"
12,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.34901717972518287, 'activation': 'tanh', 'hidden_layer_sizes': (164, 139), 'alpha': 3.6578813216285386, 'max_iter': 377, 'batch_size': 218, 'shuffle': True, 'momentum': 0.3553281082783711, 'nesterovs_momentum': True}"
13,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8182830123265478, 'activation': 'relu', 'hidden_layer_sizes': (145,), 'alpha': 2.4481942791542406, 'max_iter': 159, 'batch_size': 289, 'shuffle': True, 'momentum': 0.3315645407594046, 'nesterovs_momentum': False}"
