,MLP (LBFGS),MLP (ADAM),MLP (SGD)
0,2,3,1
1,1,2,1
2,1,5,1
3,1,1,3
4,2,1,1
5,2,2,1
6,1,3,5
7,2,1,1
8,1,2,3
9,1,1,1
10,3,1,1
11,1,1,4
12,1,3,2
13,2,1,1
14,1,1,1
15,2,1,4
16,2,1,4
17,2,1,1
18,1,5,1
19,2,1,1
20,2,1,5
21,1,3,1
22,1,2,1
23,3,1,2
24,2,4,3
25,1,2,1
26,1,1,5
27,2,1,1
28,1,2,1
29,1,3,1
