,MLP (ADAM)
0,0.14039907161626508
1,0.6841731822946212
2,0.31053226416156815
3,0.34360124131679687
4,0.9454795743072724
5,0.6933130772128996
6,0.5453269479839851
7,0.10192075640185103
8,0.12230045787624574
9,0.8354094912305261
10,0.27498849681340964
11,0.4737042046914934
12,0.7734272574363991
13,0.9267566090815157
14,0.7427022731506195
15,0.8591973030395825
16,0.762556736293804
17,0.5451179071087726
18,0.8973207376610046
19,0.1455520730215118
20,0.33628583723895217
21,0.2092575415895781
22,0.3273796599246822
23,0.7001140803514557
24,0.40838057866162014
25,0.9903175288893307
26,0.8175931301056379
27,0.813788250313968
28,0.5308412401997992
29,0.34529685200572574
