,MLP (ADAM),MLP (SGD)
0,0.71,0.6730769230769231
1,0.7480769230769231,0.72
2,0.9019230769230769,0.5
3,0.6799999999999999,0.69
4,0.8534615384615385,0.6442307692307692
5,0.5,0.75
6,0.8073076923076923,0.5
7,0.9023076923076923,0.54
8,0.8346153846153846,0.6346153846153846
9,0.7,0.5
10,0.7115384615384616,0.5673076923076923
11,0.69,0.6699999999999999
12,0.755,0.52
13,0.71,0.5480769230769231
14,0.8630769230769231,0.5096153846153846
15,0.7542307692307693,0.8338461538461539
16,0.7684615384615384,0.75
17,0.9126923076923077,0.73
18,0.7961538461538462,0.5
19,0.6923076923076923,0.658076923076923
20,0.64,0.63
21,0.8442307692307692,0.73
22,0.8926923076923077,0.71
23,0.7788461538461537,0.5288461538461539
24,0.625,0.5673076923076923
25,0.75,0.7403846153846154
26,0.8461538461538461,0.5096153846153846
27,0.6730769230769231,0.5
28,0.875,0.5480769230769231
29,0.9807692307692308,0.6730769230769231
