,MLP (ADAM),MLP (SGD)
10,"{'solver': 'adam', 'learning_rate_init': 8.404262067999738, 'activation': 'tanh', 'hidden_layer_sizes': (186, 68), 'alpha': 2.80461137460934, 'max_iter': 241, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.27498849681340964, 'beta_2': 0.8666482846957627}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 3.913379791268747, 'activation': 'logistic', 'hidden_layer_sizes': (146, 152, 166), 'alpha': 0.7436264718815216, 'max_iter': 485, 'batch_size': 51, 'shuffle': False, 'momentum': 0.4359237168999876, 'nesterovs_momentum': True}"
11,"{'solver': 'adam', 'learning_rate_init': 0.4324791232646274, 'activation': 'relu', 'hidden_layer_sizes': (172,), 'alpha': 2.3571313908423615, 'max_iter': 434, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.4737042046914934, 'beta_2': 0.8200069138135982}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.11751649930147888, 'activation': 'relu', 'hidden_layer_sizes': (109, 195, 37, 179), 'alpha': 9.180787845774077, 'max_iter': 156, 'batch_size': 51, 'shuffle': False, 'momentum': 0.288531837541609, 'nesterovs_momentum': False}"
12,"{'solver': 'adam', 'learning_rate_init': 6.88056794867738, 'activation': 'relu', 'hidden_layer_sizes': (69,), 'alpha': 1.954568806161176, 'max_iter': 253, 'batch_size': 51, 'shuffle': True, 'beta_1': 0.7734272574363991, 'beta_2': 0.38833086508204767}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.7762099303885566, 'activation': 'logistic', 'hidden_layer_sizes': (63, 131), 'alpha': 1.7669761731727103, 'max_iter': 23, 'batch_size': 50, 'shuffle': True, 'momentum': 0.18641434046628225, 'nesterovs_momentum': True}"
13,"{'solver': 'adam', 'learning_rate_init': 2.356100862512816, 'activation': 'relu', 'hidden_layer_sizes': (127,), 'alpha': 8.305957653879547, 'max_iter': 157, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.9267566090815157, 'beta_2': 0.8164852655536847}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.494744903915416, 'activation': 'tanh', 'hidden_layer_sizes': (169,), 'alpha': 5.796151329483494, 'max_iter': 369, 'batch_size': 51, 'shuffle': True, 'momentum': 0.8789672847793963, 'nesterovs_momentum': False}"
14,"{'solver': 'adam', 'learning_rate_init': 6.251071372260302, 'activation': 'relu', 'hidden_layer_sizes': (138,), 'alpha': 0.9299733977267586, 'max_iter': 214, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.7427022731506195, 'beta_2': 0.8097008272280921}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.742089733850945, 'activation': 'tanh', 'hidden_layer_sizes': (76, 54, 85, 23), 'alpha': 3.140687247052826, 'max_iter': 222, 'batch_size': 51, 'shuffle': True, 'momentum': 0.714534987045709, 'nesterovs_momentum': False}"
15,"{'solver': 'adam', 'learning_rate_init': 2.9008518938334706, 'activation': 'relu', 'hidden_layer_sizes': (151,), 'alpha': 9.738130805957258, 'max_iter': 158, 'batch_size': 51, 'shuffle': False, 'beta_1': 0.8591973030395825, 'beta_2': 0.8348349153465007}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.040770766792069764, 'activation': 'logistic', 'hidden_layer_sizes': (24,), 'alpha': 1.3082127236482348, 'max_iter': 3, 'batch_size': 51, 'shuffle': False, 'momentum': 0.2980426834809604, 'nesterovs_momentum': False}"
16,"{'solver': 'adam', 'learning_rate_init': 5.079282199796099, 'activation': 'relu', 'hidden_layer_sizes': (188,), 'alpha': 7.649630731969145, 'max_iter': 396, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.762556736293804, 'beta_2': 0.7755157718271932}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.03246296988227622, 'activation': 'relu', 'hidden_layer_sizes': (90, 163, 45), 'alpha': 4.373188814073126, 'max_iter': 429, 'batch_size': 50, 'shuffle': True, 'momentum': 0.5827229177623292, 'nesterovs_momentum': True}"
17,"{'solver': 'adam', 'learning_rate_init': 4.828905272812753, 'activation': 'relu', 'hidden_layer_sizes': (185,), 'alpha': 8.669932019442433, 'max_iter': 54, 'batch_size': 51, 'shuffle': True, 'beta_1': 0.5451179071087726, 'beta_2': 0.9563474534577009}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.18815461020281782, 'activation': 'logistic', 'hidden_layer_sizes': (135, 104), 'alpha': 7.1357773990275275, 'max_iter': 490, 'batch_size': 51, 'shuffle': True, 'momentum': 0.46551882779180087, 'nesterovs_momentum': False}"
18,"{'solver': 'adam', 'learning_rate_init': 2.2901269529512835, 'activation': 'relu', 'hidden_layer_sizes': (179,), 'alpha': 6.935522976799265, 'max_iter': 320, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.8973207376610046, 'beta_2': 0.5803696180814742}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.383895479673494, 'activation': 'tanh', 'hidden_layer_sizes': (37,), 'alpha': 9.338427696486535, 'max_iter': 196, 'batch_size': 50, 'shuffle': False, 'momentum': 0.16045827487788253, 'nesterovs_momentum': False}"
19,"{'solver': 'adam', 'learning_rate_init': 2.315812241752978, 'activation': 'relu', 'hidden_layer_sizes': (185,), 'alpha': 9.599677384822405, 'max_iter': 359, 'batch_size': 50, 'shuffle': True, 'beta_1': 0.1455520730215118, 'beta_2': 0.09184848869074112}","{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.33289843789807916, 'activation': 'logistic', 'hidden_layer_sizes': (94,), 'alpha': 0.29036688833292706, 'max_iter': 191, 'batch_size': 51, 'shuffle': True, 'momentum': 0.8334151502088597, 'nesterovs_momentum': False}"
