,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT"
0,3.4504545557341912,1.144466912196487
1,9.043512816346341,1.3377912266316254
2,8.2370427147693,0.6424391656389837
3,2.8862818491221014,3.034869983932379
4,7.601230594288074,0.8540217132530251
5,3.9849706879311997,6.7242286522037515
6,2.2748203820311232,5.713824042506568
7,1.3277516301859484,2.593232379058798
8,0.7775730431858653,0.022471721618094874
9,0.09260820247748038,5.604924560878423
10,0.010626327917972675,5.649654842534255
11,0.021477626173377916,5.435471518057281
12,8.317533980813817,6.11756929202975
13,3.6054332692368956,4.373390900652017
14,0.29088634021611703,3.2069889243704552
15,3.8090238775544547,9.303775982672864
16,7.738801160287769,2.1327364727329674
17,0.1466739051001192,0.05482005246416647
18,6.58933913632481,1.1318599822593445
19,8.79904451424588,5.0923758196428945
20,5.605841267872924,2.888817424674766
21,0.024777865196510193,9.175492928425701
22,3.8746058753458867,5.693073211951185
23,1.1553328646833418,0.24676949249006205
24,2.721742518568403,3.0014273136366185
25,1.1040912100802842,2.253083227226295
26,2.897460262531385,4.58345842166675
27,0.07625861128493085,2.531660823951383
28,2.7961870077514663,7.723871123980355
29,0.13401893862339015,7.562744058164741
