,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.73493240705571, 'activation': 'logistic', 'hidden_layer_sizes': (177, 140), 'alpha': 0.5724114790483932, 'max_iter': 194, 'batch_size': 51, 'shuffle': True, 'momentum': 0.05327041987378547, 'nesterovs_momentum': False}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.08492953610772251, 'activation': 'tanh', 'hidden_layer_sizes': (134, 150, 121, 180, 135), 'alpha': 9.721764171336902, 'max_iter': 404, 'batch_size': 51, 'shuffle': False, 'momentum': 0.5393840493445545, 'nesterovs_momentum': False}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.14058031368466917, 'activation': 'logistic', 'hidden_layer_sizes': (178,), 'alpha': 4.98058009799938, 'max_iter': 171, 'batch_size': 50, 'shuffle': True, 'momentum': 0.6304002135898964, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.00188037591781, 'activation': 'tanh', 'hidden_layer_sizes': (163, 107, 2, 120), 'alpha': 4.969746505017246, 'max_iter': 248, 'batch_size': 50, 'shuffle': False, 'momentum': 0.12904357039694736, 'nesterovs_momentum': True}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.3898156751809863, 'activation': 'logistic', 'hidden_layer_sizes': (98,), 'alpha': 8.072545621663958, 'max_iter': 338, 'batch_size': 51, 'shuffle': False, 'momentum': 0.9718922034670067, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4460063486911143, 'activation': 'logistic', 'hidden_layer_sizes': (142, 47), 'alpha': 3.617215085876273, 'max_iter': 325, 'batch_size': 52, 'shuffle': True, 'momentum': 0.7937046368982241, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.4582640896363896, 'activation': 'tanh', 'hidden_layer_sizes': (148, 95), 'alpha': 6.309230765192014, 'max_iter': 429, 'batch_size': 51, 'shuffle': True, 'momentum': 0.11687672152571119, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.240783644152191, 'activation': 'tanh', 'hidden_layer_sizes': (131, 82, 150), 'alpha': 1.5690432346551222, 'max_iter': 367, 'batch_size': 52, 'shuffle': False, 'momentum': 0.4537551421788516, 'nesterovs_momentum': True}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.000925958630129, 'activation': 'tanh', 'hidden_layer_sizes': (56, 56), 'alpha': 4.742623915439042, 'max_iter': 116, 'batch_size': 51, 'shuffle': False, 'momentum': 0.8274025121929387, 'nesterovs_momentum': False}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.218437123457897, 'activation': 'logistic', 'hidden_layer_sizes': (64, 169, 76), 'alpha': 7.8997005770745075, 'max_iter': 318, 'batch_size': 50, 'shuffle': True, 'momentum': 0.8766233457649795, 'nesterovs_momentum': False}"
