,MLP
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.683625188134265, 'activation': 'tanh', 'hidden_layer_sizes': (42, 74), 'alpha': 8.81268377666865, 'max_iter': 311, 'batch_size': 72, 'shuffle': False, 'momentum': 0.19832216301175898, 'nesterovs_momentum': True}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.043955942214359, 'activation': 'relu', 'hidden_layer_sizes': (195, 17, 20, 182), 'alpha': 1.517667736099835, 'max_iter': 34, 'batch_size': 59, 'shuffle': True, 'momentum': 0.062125191948231934, 'nesterovs_momentum': True}"
22,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.22697361463487872, 'activation': 'tanh', 'hidden_layer_sizes': (7,), 'alpha': 4.83449199646285, 'max_iter': 392, 'batch_size': 66, 'shuffle': False, 'momentum': 0.04545346000980026, 'nesterovs_momentum': True}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.2473406430508653, 'activation': 'relu', 'hidden_layer_sizes': (37,), 'alpha': 1.912464873952937, 'max_iter': 495, 'batch_size': 60, 'shuffle': False, 'momentum': 0.028783850368120523, 'nesterovs_momentum': True}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.7685572929044926, 'activation': 'tanh', 'hidden_layer_sizes': (18,), 'alpha': 3.6315995959752234, 'max_iter': 487, 'batch_size': 63, 'shuffle': True, 'momentum': 0.3107253207090881, 'nesterovs_momentum': False}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 2.5774165448646538, 'activation': 'relu', 'hidden_layer_sizes': (167, 166, 30, 108), 'alpha': 2.9918148602760177, 'max_iter': 468, 'batch_size': 76, 'shuffle': False, 'momentum': 0.40837029102163647, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.03208278979575472, 'activation': 'relu', 'hidden_layer_sizes': (186,), 'alpha': 8.38839137875403, 'max_iter': 82, 'batch_size': 83, 'shuffle': True, 'momentum': 0.24825973891532957, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8152049792141796, 'activation': 'relu', 'hidden_layer_sizes': (180, 146, 10, 82), 'alpha': 6.363789871914748, 'max_iter': 24, 'batch_size': 68, 'shuffle': True, 'momentum': 0.7187908503586214, 'nesterovs_momentum': False}"
28,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.614540194271076, 'activation': 'tanh', 'hidden_layer_sizes': (43, 122, 6), 'alpha': 8.512768925575484, 'max_iter': 41, 'batch_size': 60, 'shuffle': False, 'momentum': 0.375316866532429, 'nesterovs_momentum': True}"
29,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.05991168272474, 'activation': 'tanh', 'hidden_layer_sizes': (9, 143, 111, 118, 111), 'alpha': 8.486304001036878, 'max_iter': 275, 'batch_size': 89, 'shuffle': False, 'momentum': 0.23137931246659435, 'nesterovs_momentum': True}"
