,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT"
0,6.795874056185483,0.7647235804181174
1,1.3137204556671036,2.1156761598689307
2,3.056190872534326,2.488297647610335
3,5.249087547474659,4.697214418817993
4,4.202933702416573,6.5886417983457335
5,4.2629002385913175,2.1359772788202926
6,0.03036935260275517,3.4668660060675287
7,1.7801758235992964,7.415653545293078
8,9.623917587453535,1.864621876901659
9,1.0209909018116088,1.4546085844390177
10,0.5838527565481434,0.601926526925134
11,2.6843349643317014,8.412033363492815
12,6.692702124822541,3.487983876606411
13,2.5158608726298564,0.5006190735433876
14,4.081106645768963,0.11920884993624588
15,2.7992233606075705,3.0786228556082302
16,3.73096750184865,6.191530366334634
17,2.876773350839379,0.9821473875170439
18,0.287220324442868,5.4160137927504115
19,2.3407835443046583,3.9421891469551
20,7.2169077172428,4.776833459956141
21,5.368208409998648,4.45263764816189
22,4.513269405860227,3.954447577589429
23,0.6967251851723724,1.3171262236490604
24,5.056499582495736,2.6016847428892578
25,4.934993685047115,4.20848379205598
26,0.466597600138638,9.605759244083949
27,0.5232246123731619,1.0650099381299287
28,5.962740222497384,0.2184489216662785
29,6.483813013175903,2.6470102190562694
