,MLP (ADAM)
0,0.5821415799985656
1,0.854007996957156
2,0.38356688780020964
3,0.18919129616522232
4,0.12915798126344494
5,0.5443718840979481
6,0.5180376565757335
7,0.017764359578567344
8,0.24887261784829873
9,0.27391328114721974
10,0.07345370577282417
11,0.33234009151338406
12,0.5403789198870323
13,0.7036134739164481
14,0.6192139008723819
15,0.3224495605638772
16,0.956516874582049
17,0.34294542382167875
18,0.9219834706690553
19,0.483704533408952
20,0.7460175705381467
21,0.5119067926186824
22,0.29122858168020477
23,0.9082025964258089
24,0.4103039736473268
25,0.05133493230404218
26,0.3609760138454207
27,0.8979795459203229
28,0.6002200384659063
29,0.23603701281893077
