,"SLM (BLS) + TIE, SLM (BLS) + EDV","SLM (BLS), SLM (BLS) + RST, SLM (BLS) + RWT"
0,1.5731967952096402,4.296356014569941
1,0.8078895046879807,2.0498335679614046
2,2.1811766371573245,5.5481888659960426
3,5.312288827723704,9.639810191653554
4,2.8123542258951515,0.30853404263541145
5,1.0623401063760423,7.237345564984788
6,8.487836196168104,8.951703408693353
7,6.373950217963864,1.9112901477388098
8,9.641838386062048,6.2446982177166435
9,9.236683339378038,6.213080462564616
10,6.965341484154566,7.183369743868773
11,4.4763669208262575,6.565620626369356
12,2.796972167013302,0.12148729556805352
13,0.4165466282651945,0.02045456718815689
14,1.2727085515319283,4.259423217022366
15,6.971554697622821,2.5885858156617116
16,8.071494973164247,9.71715901438896
17,6.6033306525277204,9.813940247214303
18,8.198652830275114,6.884799703520763
19,8.52489641523044,5.531986303367941
20,6.8114713853944595,9.576319350113419
21,4.499617000888424,4.707018519716464
22,5.202182036434878,2.8592929422117686
23,0.9073949061179979,7.465945115603267
24,9.954568563747298,1.449710593860289
25,0.7242076027824202,4.559031880150018
26,4.121014020019975,6.264300889918147
27,6.855126624667456,9.808189785941497
28,1.907859899818074,1.157559623338509
29,4.656548648180314,0.5426056088001675
