,MLP
0,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.8415359324796892, 'activation': 'logistic', 'hidden_layer_sizes': (89, 161), 'alpha': 9.146793386878368, 'max_iter': 11, 'batch_size': 3469, 'shuffle': False, 'momentum': 0.04033042476305801, 'nesterovs_momentum': True}"
1,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 8.579978955887931, 'activation': 'logistic', 'hidden_layer_sizes': (42,), 'alpha': 0.5805182568815357, 'max_iter': 212, 'batch_size': 2190, 'shuffle': True, 'momentum': 0.6433387589131794, 'nesterovs_momentum': False}"
2,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.9839093253983616, 'activation': 'logistic', 'hidden_layer_sizes': (157, 115, 155, 197), 'alpha': 4.094134280834032, 'max_iter': 122, 'batch_size': 639, 'shuffle': False, 'momentum': 0.2513206019476062, 'nesterovs_momentum': True}"
3,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 9.936613066981076, 'activation': 'logistic', 'hidden_layer_sizes': (141, 119, 57, 36), 'alpha': 5.868611075900871, 'max_iter': 175, 'batch_size': 896, 'shuffle': True, 'momentum': 0.4924579554332706, 'nesterovs_momentum': True}"
4,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.10805453525187665, 'activation': 'tanh', 'hidden_layer_sizes': (86, 89, 182), 'alpha': 8.272852873558803, 'max_iter': 166, 'batch_size': 4106, 'shuffle': True, 'momentum': 0.32824010400164494, 'nesterovs_momentum': False}"
5,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 7.3125293488877805, 'activation': 'relu', 'hidden_layer_sizes': (129, 196), 'alpha': 1.6550522940763441, 'max_iter': 51, 'batch_size': 3617, 'shuffle': True, 'momentum': 0.5213778748158381, 'nesterovs_momentum': True}"
6,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.1115486513404164, 'activation': 'logistic', 'hidden_layer_sizes': (65,), 'alpha': 6.402135167568783, 'max_iter': 486, 'batch_size': 433, 'shuffle': True, 'momentum': 0.5556426177725883, 'nesterovs_momentum': True}"
7,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 5.852862863243266, 'activation': 'tanh', 'hidden_layer_sizes': (97, 137, 65), 'alpha': 1.7896534869684666, 'max_iter': 489, 'batch_size': 1083, 'shuffle': True, 'momentum': 0.5147930374662865, 'nesterovs_momentum': False}"
8,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 4.471188796715766, 'activation': 'tanh', 'hidden_layer_sizes': (176, 95, 176, 41), 'alpha': 6.097790776658682, 'max_iter': 406, 'batch_size': 3408, 'shuffle': True, 'momentum': 0.8005247747007096, 'nesterovs_momentum': True}"
9,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 6.9761692350121045, 'activation': 'tanh', 'hidden_layer_sizes': (108, 1), 'alpha': 4.530228141056073, 'max_iter': 23, 'batch_size': 4735, 'shuffle': True, 'momentum': 0.940697503013163, 'nesterovs_momentum': True}"
