,MLP (SGD)
0,True
1,False
2,True
3,True
4,False
5,True
6,True
7,False
8,True
9,True
10,True
11,False
12,True
13,True
14,False
15,True
16,True
17,True
18,True
19,False
20,False
21,False
22,False
23,False
24,True
25,False
26,False
27,False
28,True
29,True
