,MLP (ADAM)
0,0.7252423926805489
1,0.8518084361659052
2,0.24532970948562174
3,0.24559033304658956
4,0.21344687070828755
5,0.015928571002053724
6,0.798673411260445
7,0.34731723090028094
8,0.30904397061649724
9,0.20754640552041398
10,0.4230106875299723
11,0.4815864420345963
12,0.6605914904076595
13,0.6166576071729006
14,0.9858652001199981
15,0.6775304293922257
16,0.9829778534046768
17,0.7298834950277066
18,0.18059843953442353
19,0.34376111602988574
20,0.4343320763652085
21,0.46954241461431645
22,0.5432917902950396
23,0.7577947329123631
24,0.8662147053078412
25,0.7719841165157053
26,0.42473187261218365
27,0.784343181319661
28,0.046459529508846784
29,0.1625700371435976
